domain,subgroup,n,positives,average_precision,ci_low,ci_high
Age,<55,562,4,0.019539509715161454,0.0026197237943698095,0.08752579876557615
Race,BLACK/AFRICAN AMERICAN,197,3,0.04011541505027696,0.009900990099009901,0.14362103174603175
Age,65-74,325,9,0.04078060553394147,0.01619900317931232,0.11116469915371305
Index source,admittime,276,6,0.0581929605106757,0.010633409765548623,0.26361886989594435
Race,UNKNOWN,71,4,0.06817414264222775,0.02539086929330832,0.17084789133247522
Sex,F,805,15,0.07109886595072451,0.024899978681467275,0.23733797772470258
Sex,M,761,22,0.0716337477537129,0.039230878614193485,0.14444149492109917
Insurance,Private,534,12,0.07854707571434447,0.02892143216854877,0.19695637561854457
Index source,edregtime,1285,31,0.08591346616327167,0.04769646025155416,0.16008146299185808
Insurance,Medicare,664,23,0.08984802892900143,0.04508171792253147,0.21681791746901655
Age,75+,326,15,0.09891134297206586,0.042237863607932226,0.25150848102844375
Race,WHITE,955,25,0.1128694499605451,0.053435959465913285,0.259787108875904
Age,55-64,353,9,0.18566558451526072,0.05659713952110839,0.4813632546619001
